Español; Ingles
El libro está sobre la mesa.;The book is on the table.
El perro está debajo de la cama.;The dog is under the bed.
Las llaves están dentro del bolso.;The keys are inside the bag.
El carro está fuera de la casa.;The car is outside the house.
Ella está sentada al lado de mí.;She is sitting next to me.
El gato está detrás de la puerta.;The cat is behind the door.
El parque está enfrente de la escuela.;The park is in front of the school.
El cuadro está arriba del sofá.;The picture is above the sofa.
La pelota está abajo de las escaleras.;The ball is below the stairs.
El banco está entre la tienda y el hotel.;The bank is between the shop and the hotel.
Mi teléfono está aquí.;My phone is here.
Tu mochila está allá.;Your backpack is there.
El baño está a la derecha.;The bathroom is on the right.
La cocina está a la izquierda.;The kitchen is on the left.
El hospital está cerca.;The hospital is nearby.
La playa está lejos.;The beach is far away.
El café está junto a la librería.;The cafe is next to the bookstore.
El espejo está colgado arriba.;The mirror is hanging up.
Los zapatos están abajo.;The shoes are downstairs.
Estamos dentro del edificio.;We are inside the building.
Ellos están fuera de la oficina.;They are outside the office.
El lápiz está junto al cuaderno.;The pencil is beside the notebook.
Camina hacia adelante.;Walk forward.
Da un paso atrás.;Take a step back.
El norte está hacia arriba.;North is upwards.
El sur está hacia abajo.;South is downwards.
El jardín está detrás de la casa.;The garden is behind the house.
La parada de autobús está enfrente.;The bus stop is opposite.
El control remoto está sobre el sillón.;The remote is on the armchair.
Hay un túnel debajo del río.;There is a tunnel under the river.
Guarda el dinero dentro de la caja.;Keep the money inside the box.
El juguete está fuera de la caja.;The toy is out of the box.
Siéntate junto a tu hermano.;Sit beside your brother.
El árbol está detrás del auto.;The tree is behind the car.
La televisión está frente a nosotros.;The TV is in front of us.
El avión vuela arriba de las nubes.;The plane flies above the clouds.
La temperatura está bajo cero.;The temperature is below zero.
El color gris está entre el blanco y el negro.;Grey is between white and black.
"Ven aquí, por favor.";"Come here, please."
Quédate allá.;Stay there.
Gira a la derecha.;Turn right.
Gira a la izquierda.;Turn left.
La farmacia está muy cerca.;The pharmacy is very close.
La ciudad está lejos de aquí.;The city is far from here.
El gato saltó sobre la mesa.;The cat jumped onto the table.
El papel cayó debajo de la mesa.;The paper fell under the table.
Hay agua dentro del vaso.;There is water inside the glass.
El perro corre afuera.;The dog is running outside.
Mi casa está junto a la tuya.;My house is next to yours.
El sol se oculta detrás de la montaña.;The sun hides behind the mountain.
